V_Vessel,V_From,V_To,V_Time,V_Tug,V_LOA
OCEAN TRADER 1,LS,ASTAN,1100 Wed Jan 13 (Set),FM,738
KM YOKOHAMA,LS,ASTAN,1400 Wed Jan 13 (Set),MS,751
SHAO SHAN 6,LS,ASTAN,1700 Thu Jan 14 (Set),FM,738
CEMTEX VENTURE,LS,ASTAN,1800 Thu Jan 14 (Set),SH,738
SAGA FRONTIER,LS,VAN 8,0430 Tue Jan 12 (Set),MS,654
MOUNT HIKURANGI,LS,LGV A,2330 Tue Jan 12 (Est.),SH,576
GH POWER,ASTAN,KALEX,0100 Wed Jan 13 (Est.),SH,738
PEARL ACE,LS,607,0500 Wed Jan 13 (Set),SH,617
IKAN SUDIP,LS,RAIN A,0700 Wed Jan 13 (Set),FM,623
BLACK FOREST,LS,WLOGB,0800 Wed Jan 13 (Set),SH,581
DAIWAN CHAMPION,LS,VAN 9,0800 Wed Jan 13 (Set),SH,590
WESTERN SEATTLE,LS,VAN 3,0930 Wed Jan 13 (Set),SH,609
ITB SUPPLIER,LS,CHEVU,1300 Wed Jan 13 (Est.),FM,245
MOKU PAHU,LS,VL B1,1500 Wed Jan 13 (Set),SH,686
MORNING CINDY,LS,601,2000 Wed Jan 13 (Set),FM,656
HOEGH OSLO,LS,601,2000 Wed Jan 13 (Est.),SH,590
ASTER K,LS,WLOGA,1200 Thu Jan 14 (Set),SH,581
ANSAC CHRISTINE NANCY,LS,411,1230 Thu Jan 14 (Set),SH,594
GLOBAL HEART,LS,LGV A,1500 Thu Jan 14 (Set),SH,585
TURQUOISE OCEAN,LS,KAL N,2000 Thu Jan 14 (Set),SH,600
ARGENT EYEBRIGHT,LS,VAN 5,0130 Fri Jan 15 (Est.),SH,558
ANGELIC POWER,ASTAN,416,1200 Fri Jan 15 (Est.),SH,738
AQUA BLUE,LS,205,1600 Fri Jan 15 (Est.),SH,409
SCARLET EAGLE,ASTAN,UGC,0601 Sun Jan 31 (Est.),FM,751
OCEAN TRADER 1,ASTAN,UGC,0601 Sun Jan 31 (Est.),SH,738
SHAO SHAN 6,ASTAN,UGC,0601 Sun Jan 31 (Est.),FM,738
GENCO ACHERON,ASTAN,EGT,1001 Sun Jan 31 (Est.),SH,738
KM YOKOHAMA,ASTAN,TMKAL,1101 Sun Jan 31 (Est.),FM,751
CEMTEX VENTURE,ASTAN,BERTH,1201 Sun Jan 31 (Est.),SH,738
F.D. VITTORIO RAIOLA,VU B2,UGC,2100 Mon Jan 11 (Call),SH,738
EASTERN ASIA,LA 1,LGV 8,0600 Tue Jan 12 (Set),SH,576
LAKE DAWN,KAL N,RA B2,1701 Tue Jan 12 (Est.),SH/FM,751
HISPANIA GRAECA,KA B2,EGT,1736 Tue Jan 12 (Est.),FM,738
USNS MERCY,DD6,314,0601 Fri Jan 15 (Est.),SH/FM,894
FOREST TRADER,LA 4,WLOGA,0600 Mon Jan 18 (Est.),SH,580
ARMERIA,TMKAL,TMPOR,0501 Sun Jan 31 (Est.),SH,621
GLOBAL ROUND,KA 2,TMPOR,0501 Sun Jan 31 (Est.),SH,580
BTG OLYMPOS,VL B1,COL,0531 Sun Jan 31 (Est.),SH,751
NEW BOUNDARY,VU 2,COL,0531 Sun Jan 31 (Est.),SH,623
MOKU PAHU,VL B1,COL,0531 Sun Jan 31 (Est.),FM,686
MARSDEN POINT,VAN L,LGV 5,0801 Sun Jan 31 (Est.),FM,584
MOUNT HIKURANGI,LGV A,LGV 5,0801 Sun Jan 31 (Est.),FM,576
GLOBAL HEART,LGV A,BERTH,0801 Sun Jan 31 (Est.),SH,585
ANGELIC POWER,416,EGT,1001 Sun Jan 31 (Est.),FM,738
OCEANLOVE,VU 1,TMKAL,1101 Sun Jan 31 (Est.),SH,623
GLOBAL ROUND,TMPOR,TMKAL,1101 Sun Jan 31 (Est.),SH,580
LAKE DAWN,RA B2,BERTH,1201 Sun Jan 31 (Est.),FM,751
IKAN SUDIP,RAIN A,BERTH,1201 Sun Jan 31 (Est.),SH,623
TEXAS HIGHWAY,415,SEA,1520 Mon Jan 11 (Away),FM,656
IRIS SKY,UGC,SEA,2100 Mon Jan 11 (Call),FM,556
ATB SOUND RELIANCE,PHILO,SEA,0200 Tue Jan 12 (Call),FM,599
FRIEDERIKE,411,SEA,1214 Tue Jan 12 (Est.),SH,623
SAGITTARIUS LEADER,VAN10,SEA,1500 Tue Jan 12 (Est.),SH,656
ORUC REIS,VAN 3,SEA,1700 Tue Jan 12 (Est.),SH,563
ATLANTIC EAGLE,EGT,SEA,1736 Tue Jan 12 (Est.),SH,556
SUNNY YOUNG,KALEX,SEA,0501 Wed Jan 13 (Est.),SH,751
SAGA FRONTIER,VAN 8,SEA,0501 Wed Jan 13 (Est.),SH,654
PORTLAND,COL,SEA,0517 Wed Jan 13 (Est.),SH,623
GLOBAL ENDEAVOR,WLOGA,SEA,1500 Wed Jan 13 (Est.),FM,576
SAKURA DREAM,TMPOR,SEA,1736 Wed Jan 13 (Est.),FM,591
