name,urls
"James Hecker, MD, PhD",https://www.doximity.com/pub/james-hecker-md
"Michael Bishop, MD",https://www.doximity.com/pub/michael-bishop-md/4
"Michael Hoger, DO",https://www.doximity.com/pub/michael-hoger-do/1
"Irakli Soulakvelidze, MD",https://www.doximity.com/pub/irakli-soulakvelidze-md
"Stephen Bolt, MD",https://www.doximity.com/pub/stephen-bolt-md
"David Paly, MD",https://www.doximity.com/pub/david-paly-md
"Padmini Nehru, MD",https://www.doximity.com/pub/padmini-nehru-md
"Dariusz Walczak, MD",https://www.doximity.com/pub/dariusz-walczak-md/1
".Jorgen Quistgaard, MD",https://www.doximity.com/pub/dot-jorgen-quistgaard-md
"Bengt Widlund, MD",https://www.doximity.com/pub/bengt-widlund-md
"Kathleen Larkin, MD",https://www.doximity.com/pub/kathleen-larkin-md/2
"Ryan Pong, MD",https://www.doximity.com/pub/ryan-pong-md
"Jonathan Maron, MD",https://www.doximity.com/pub/jonathan-maron-md
"Jeffrey Welch, DO",https://www.doximity.com/pub/jeffrey-welch-do
"Joel Robinson, MD",https://www.doximity.com/pub/joel-robinson-md
"Rolf Olsoy, MD",https://www.doximity.com/pub/rolf-olsoy-md
"Francis Tamburine, MD",https://www.doximity.com/pub/francis-tamburine-md
"Thao Vu, MD",https://www.doximity.com/pub/thao-vu-md
"Robin Franciscovich, MD",https://www.doximity.com/pub/robin-franciscovich-md
"Peter Telfer, MD",https://www.doximity.com/pub/peter-telfer-md
"Rodrick Xuereb, MD",https://www.doximity.com/pub/rodrick-xuereb-md
"Arley Voves, MD",https://www.doximity.com/pub/arley-voves-md
"Kenneth Ost, MD",https://www.doximity.com/pub/kenneth-ost-md
"Dennis Kirby, MD",https://www.doximity.com/pub/dennis-kirby-md
"Ali Afrassiabi, MD",https://www.doximity.com/pub/ali-afrassiabi-md
"Benjamin Zerngast, MD",https://www.doximity.com/pub/benjamin-zerngast-md
"Michael Duey, MD",https://www.doximity.com/pub/michael-duey-md/1
"Robert Baird, MD",https://www.doximity.com/pub/robert-baird-md/1
"Sabine Speer, MD",https://www.doximity.com/pub/sabine-speer-md
"Wendy Carlyle, MD",https://www.doximity.com/pub/wendy-carlyle-md
"Ronald Wayne, MD",https://www.doximity.com/pub/ronald-wayne-md
"Janet Mehaffey, MD",https://www.doximity.com/pub/janet-mehaffey-md
"Ronald Yep, MD",https://www.doximity.com/pub/ronald-yep-md
"James Gerding, MD",https://www.doximity.com/pub/james-gerding-md
"John Holder, MD",https://www.doximity.com/pub/john-holder-md/3
"Glaucia Moreira, MD",https://www.doximity.com/pub/glaucia-moreira-md/1
Hieu Le,https://www.doximity.com/pub/hieu-le-md/2
"Thomas Thompson, MD",https://www.doximity.com/pub/thomas-thompson-md/5
"Donald Van Nimwegen, MD",https://www.doximity.com/pub/donald-van-nimwegen-md
"Heather Mc Cluskey, MD",https://www.doximity.com/pub/heather-mc-cluskey-md
"Gregory Lochbaum, MD",https://www.doximity.com/pub/gregory-lochbaum-md
"Yuko Schmitt, MD",https://www.doximity.com/pub/yuko-schmitt-md
"Santosh Patel, MD",https://www.doximity.com/pub/santosh-patel-md/1
"Rapin Kanithanon, MD",https://www.doximity.com/pub/rapin-kanithanon-md
"Jochen Dwersteg, MD",https://www.doximity.com/pub/jochen-dwersteg-md
"Aaron Parker, MD",https://www.doximity.com/pub/aaron-parker-md
"Randall Kerr, MD",https://www.doximity.com/pub/randall-kerr-md
"John Ehrhart, MD",https://www.doximity.com/pub/john-ehrhart-md
"Julie Vath, MD",https://www.doximity.com/pub/julie-vath-md
"Paul Doepfner, MD",https://www.doximity.com/pub/paul-doepfner-md
"Jeremy Geiduschek, MD",https://www.doximity.com/pub/jeremy-geiduschek-md
"Cheyenne Babcock, MD",https://www.doximity.com/pub/cheyenne-babcock-md
"Peter Dunbar, MD",https://www.doximity.com/pub/peter-dunbar-md/2
"Brendan O'Donnell, MD",https://www.doximity.com/pub/brendan-odonnell-md/1
"Robert Goldstein, MD",https://www.doximity.com/pub/robert-goldstein-md/10
