Bundles,Type,Price_GBP,Validity_Days,Data,Natl_Mins,Natl_Text,Intl_Mins,Combined_Natl_Intl,Lyca_To_Lyca_Calls,Lyca_To_Lyca_Texts,Notes
Data 7.5,Data Bundles,7.5,30,1GB,,,,0,,,
UK Plan 7.5,UK Plan,7.5,30,500 MB,150,150,,0,Unlimited,Unlimited,Best Value
UK Plan 20,UK Plan,12,30,2 GB,1000,Unlimited,,0,Unlimited,Unlimited,On Sale
Data 10,Data Bundles,10,30,2GB,,,,0,,,
Data 12,Data Bundles,12.5,30,3GB,,,,0,,,
UK Plan 15,UK Plan,15,30,3 GB,1000,Unlimited,,0,Unlimited,Unlimited,Online Price
UK Plan 17,UK Plan,17,30,5 GB,2000,Unlimited,,0,Unlimited,Unlimited,Online Price
Data 25,Data Bundles,25,30,6 GB,,,,0,,,
UK Plan 5,UK Plan,5,30,50 MB,100,100,,0,Unlimited,Unlimited,
Data 5,Data Bundles,5,30,500MB,,,,0,,,
UK Plan 10,UK Plan,10,30,1GB,500,Unlimited,,0,Unlimited,Unlimited,Best Value
Data Bolt On XS,Data Bundles,3,0,200 MB,,,,0,,,
Data Bolt On S,Data Bundles,5,0,500 MB,,,,0,,,
National Plus,UK Plan,15,30,1 GB,250,Unlimited,200,0,Unlimited,Unlimited,
UK Plan 25,UK Plan,25,30,5 GB,Unlimited,Unlimited,,0,Unlimited,Unlimited,Online Price
Data Bolt On M,Data Bundles,7.5,0,1 GB,,,,0,,,
Data Bolt On L,Data Bundles,12,0,3 GB,,,,0,,,
Talk & Text 5,UK Plan,5,30,,150,150,,0,Unlimited,Unlimited,
Talk & Text 10,UK Plan,10,30,,600,Unlimited,,0,Unlimited,Unlimited,
Data Bolt On XL,Data Bundles,20,0,5 GB,,,,0,,,
Talk & Text 20,UK Plan,15,30,,Unlimited,Unlimited,,0,Unlimited,Unlimited,
UK Lyca,UK Plan,1.5,30,,,,,0,Unlimited,unlimited,
