links,title,subur_name,unit_mly_jan,unit_mly_feb,unit_mly_mar,unit_mly_apr,unit_mly_may,unit_mly_jun,unit_mly_jul,unit_mly_aug,unit_mly_sep,unit_mly_oct,unit_mly_nov,unit_mly_dec,unit_mly_p_jan,unit_mly_p_feb,unit_mly_p_mar,unit_mly_p_apr,unit_mly_p_may,unit_mly_p_jun,unit_mly_p_jul,unit_mly_p_aug,unit_mly_p_sep,unit_mly_p_oct,unit_mly_p_nov,unit_mly_p_dec,unit_mly_nos_jan,unit_mly_nos_feb,unit_mly_nos_mar,unit_mly_nos_apr,unit_mly_nos_may,unit_mly_nos_jun,unit_mly_nos_jul,unit_mly_nos_aug,unit_mly_nos_sep,unit_mly_nos_oct,unit_mly_nos_nov,unit_mly_nos_dec
https://www.realestate.com.au/neighbourhoods/Alexander%20Heights-6064-wa,Alexander Heights,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,413000,405000,405000,405000,405000,405000,405000,405000,425000,425000,425000,425000,2,4,4,4,4,4,4,4,3,3,3,3
https://www.realestate.com.au/neighbourhoods/Alfred%20Cove-6154-wa,Alfred Cove,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,715000,715000,680000,680000,645000,645000,645000,645000,637500,637500,637500,637500,5,5,6,6,5,5,5,5,4,4,4,4
https://www.realestate.com.au/neighbourhoods/Alkimos-6038-wa,Alkimos,,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,,,420000,417500,417500,420000,420000,420000,420000,420000,420000,420000,,,1,2,2,3,3,3,3,3,3,3,,
https://www.realestate.com.au/neighbourhoods/Anketell-6167-wa,Anketell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Applecross-6153-wa,Applecross,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,691500,674500,657500,700000,728000,742750,720000,770000,807500,830000,830000,830000,46,43,42,39,43,46,43,39,38,37,37,37
https://www.realestate.com.au/neighbourhoods/Ardross-6153-wa,Ardross,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,665000,752000,745000,745000,794500,844000,807000,807000,770000,770000,770000,770000,5,4,5,5,4,3,4,4,3,3,3,3
https://www.realestate.com.au/neighbourhoods/Armadale-6112-wa,Armadale,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,300000,300000,300000,305000,306000,306000,306000,309000,307000,299000,299000,299000,77,80,80,81,79,73,71,63,60,52,47,47
https://www.realestate.com.au/neighbourhoods/Ascot-6104-wa,Ascot,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,485000,498000,482000,452500,450000,422500,390000,392500,392500,395000,395000,395000,9,9,10,14,15,16,13,14,14,13,13,13
https://www.realestate.com.au/neighbourhoods/Ashby-6065-wa,Ashby,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,487500,487500,487500,450000,450000,450000,450000,450000,450000,450000,450000,450000,2,2,2,1,1,1,1,1,1,1,1,1
https://www.realestate.com.au/neighbourhoods/Ashfield-6054-wa,Ashfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Attadale-6156-wa,Attadale,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,566250,561500,520000,558000,555000,575000,512500,470000,555000,575000,575000,575000,26,30,28,29,27,27,26,27,25,27,27,27
https://www.realestate.com.au/neighbourhoods/Atwell-6164-wa,Atwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Aubin%20Grove-6164-wa,Aubin Grove,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,373600,485000,498250,498250,498250,498250,498250,511500,511500,511500,511500,511500,2,1,2,2,2,2,2,1,1,1,1,1
https://www.realestate.com.au/neighbourhoods/Australind-6233-wa,Australind,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,320000,320000,322000,321000,322000,340750,349000,349000,332500,349000,342000,342000,22,23,23,22,21,16,15,13,15,13,13,13
https://www.realestate.com.au/neighbourhoods/Balcatta-6021-wa,Balcatta,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,410000,405750,406000,408000,414000,420000,427500,427500,420000,420000,420000,420000,65,62,65,62,58,50,46,42,38,39,37,37
https://www.realestate.com.au/neighbourhoods/Baldivis-6171-wa,,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,374000,369000,364500,360000,360000,364500,364500,360000,360000,360000,360000,360000,34,39,38,31,30,26,26,27,22,23,21,22
https://www.realestate.com.au/neighbourhoods/Balga-6061-wa,Balga,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,348000,347500,348000,343000,342000,347000,339000,337000,337000,337000,343000,343000,81,76,79,77,79,73,71,64,61,53,50,50
https://www.realestate.com.au/neighbourhoods/Ballajura-6066-wa,Ballajura,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,361250,361250,12,15,17,17,15,15,16,14,13,13,12,12
https://www.realestate.com.au/neighbourhoods/Banjup-6164-wa,Banjup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Banksia%20Grove-6031-wa,Banksia Grove,,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,,,,170000,170000,170000,170000,170000,170000,170000,170000,170000,,,,1,1,1,1,1,1,1,1,1,,,
https://www.realestate.com.au/neighbourhoods/Banksiadale-6213-wa,Banksiadale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Baskerville-6056-wa,Baskerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Bassendean-6054-wa,Bassendean,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,403000,387000,379000,395000,397500,395000,380000,379500,379000,377500,377500,377500,23,18,15,15,18,17,17,22,21,20,20,20
https://www.realestate.com.au/neighbourhoods/Bateman-6150-wa,Bateman,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,582500,582500,710000,840000,840000,840000,555000,555000,270000,270000,270000,270000,4,4,2,1,1,1,2,2,1,1,1,1
https://www.realestate.com.au/neighbourhoods/Bayswater-6053-wa,,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,350000,349500,353500,352000,347000,342500,345000,335000,345000,353500,357500,357500,77,78,82,80,82,74,71,63,61,58,52,52
https://www.realestate.com.au/neighbourhoods/Beaconsfield-6162-wa,Beaconsfield,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,477500,477500,430000,430000,420000,420000,415000,410000,415000,415000,410000,410000,6,6,7,7,9,9,8,9,8,8,7,7
