Source_Urls,Company_Name,Company_Website,Email
http://www.stadlistan.se/c/partille/alternativ-st%C3%A4d/1110172346,Alternativ Städ,http://www.alternativstad.se,mailto:info@alternativstad.se
http://www.stadlistan.se/c/angered/eh-rent/1112108434,E&H Rent,,mailto:e_h-rent@hotmail.com
http://www.stadlistan.se/c/uppsala/vip-service-ab/1110318379,VIP Service AB,http://www.vipservice.nu,mailto:vipservice@telia.com
http://www.stadlistan.se/c/alvesta/s-st%C3%A4d/1111372896,S-STÄD,http://senada.hosterspace.com/,mailto:dizi@home.se
http://www.stadlistan.se/c/g%C3%B6teborg/landala-st%C3%A4dservice-ab/106089,Landala Städservice AB,http://www.landalastadservice.com,mailto:info@landalastadservice.com
http://www.stadlistan.se/c/norrk%C3%B6ping/amiva-ab/1111871176,Amiva AB,http://amiva.se/,mailto:amiva.norrkoping@gmail.com
http://www.stadlistan.se/c/v%C3%A4stra-fr%C3%B6lunda/ecorr-n-st%C3%A4d/1111469517,ECORR N STÄD,http://www.ecorrnstad.se,mailto:info@ecorrnstad.se
http://www.stadlistan.se/c/sk%C3%B6llersta/toppklass-st%C3%A4dservice/1111958368,Toppklass städservice,http://www.toppklass.com,mailto:www.anja@toppklass.com
http://www.stadlistan.se/c/mj%C3%B6hult/duo-service/1112108431,Duo-Service,,mailto:kontakt@duoservice.se
http://www.stadlistan.se/c/falk%C3%B6ping/skaraborgs-st%C3%A4d-ab/1182978,Skaraborgs Städ AB,http://www.skaraborgs.se,mailto:ag@skaraborgs.se
http://www.stadlistan.se/c/mariestad/skaraborgs-st%C3%A4d-ab/1182664,Skaraborgs Städ AB,http://www.skaraborgs.se,mailto:cg@skaraborgs.se
http://www.stadlistan.se/c/sk%C3%B6vde/skaraborgs-st%C3%A4d-ab/1181897,Skaraborgs Städ AB,http://www.skaraborgs.se,mailto:mk@skaraborgs.se
http://www.stadlistan.se/c/halmstad/hallands-renare-bostad-ab/1110161981,Hallands Renare Bostad AB,http://www.renarebostad.se,mailto:info@renarebostad.se
http://www.stadlistan.se/c/sundsvall/team-heffners-ekonomisk-f%C3%B6rening/1110638910,Team Heffners Ekonomisk Förening,http://www.teamheffners.se/,mailto:hemservice@teamheffners.se
http://www.stadlistan.se/c/stockholm/cleanout/1111703630,CleanOut,http://www.cleanout.se/,mailto:info@cleanout.se
http://www.stadlistan.se/c/malm%C3%B6/winfield-ab/206171,Winfield AB,http://www.winfield.se,mailto:andreas@winfield.se
http://www.stadlistan.se/c/v%C3%A4stra-fr%C3%B6lunda/st%C3%A4dkedjan-i-g%C3%B6teborg-ab/1182463,Städkedjan i Göteborg AB,http://www.stadkedjan.se/,mailto:info@stadkedjan.se
http://www.stadlistan.se/c/v%C3%A4stra-fr%C3%B6lunda/st%C3%A4dbolaget-i-g%C3%B6teborg-ab/1182328,StädBolaget i Göteborg AB,http://www.rentprofessionellt.se,mailto:info@rentprofessionellt.se
http://www.stadlistan.se/c/g%C3%B6teborg/stamgren-hush%C3%A5llstj%C3%A4nster-ab/100701105,Stamgren Hushållstjänster AB ,http://www.stamgren.se,mailto:info@stamgren.se
http://www.stadlistan.se/c/g%C3%B6teborg/seffo-rps-ab/1110391634,Seffo Rps AB,http://www.seffo.se,mailto:kontakt@seffo.se
http://www.stadlistan.se/c/g%C3%B6teborg/rena-relationer-ab/146666,Rena Relationer AB,http://www.renarelationer.se,mailto:info@renarelationer.se
http://www.stadlistan.se/c/g%C3%B6teborg/eriksbergs-f%C3%B6nsterputs-och-st%C3%A4d/1111272656,Eriksbergs fönsterputs och städ,http://www.efp.se,mailto:info@efp.se
http://www.stadlistan.se/c/g%C3%B6teborg/qleeno-ab/6001552,Qleeno AB,http://www.superclean.se,
http://www.stadlistan.se/c/g%C3%B6teborg/purger-service-ab/1182834,Purger Service AB,http://www.purger.nu,mailto:info@purger.nu
http://www.stadlistan.se/c/g%C3%B6teborg/peters-helt-rent-ab/1110351864,Peters Helt & Rent AB,http://www.heltochrent.se/www/,
http://www.stadlistan.se/c/g%C3%B6teborg/passuppassal-ab/6001069,Passup/Passal AB,http://www.passup.se,mailto:info@passup.se
http://www.stadlistan.se/c/g%C3%B6teborg/neergaards-milj%C3%B6-ab/1110324960,Neergaards Miljö AB,http://www.neergaardsmiljo.se,mailto:info@neergaardsmiljo.se
http://www.stadlistan.se/c/g%C3%B6teborg/milla-molly-vinimi-ab/1110325722,Milla & Molly (Vinimi AB),http://www.millamolly.se,mailto:home@millamolly.se
http://www.stadlistan.se/c/eskilstunag%C3%B6teborg/marias-hush%C3%A5llsn%C3%A4ra-tj%C3%A4nster/1111690231,Marias hushållsnära tjänster,http://www.maria-hushallsnara-tjanster.se,mailto:maria.hushallsnara.tjanster@gmail.com
http://www.stadlistan.se/c/g%C3%B6teborg/klarin-lundin-aktiebolag/1182521,Klarin Lundin Aktiebolag,http://www.klinab.se,
http://www.stadlistan.se/c/g%C3%B6teborg/hrt-hand-ab/1110418958,Hrt Hand AB,http://www.handrackningtjanst.se,mailto:hrthand@gmail.com
http://www.stadlistan.se/c/g%C3%B6teborg/g%C3%B6taclean/1110420850,GötaClean,http://www.gotaclean.se,mailto:info@gotaclean.se
http://www.stadlistan.se/c/g%C3%B6teborg/grand-service/1111087812,Grand Service,http://www.grandservice.se/,
http://www.stadlistan.se/c/g%C3%B6teborg/gr%C3%B6n-fasadtv%C3%A4tt-i-g%C3%B6teborg-ab/1110325422,Grön Fasadtvätt i Göteborg AB,http://gronfasadtvatt.se/,mailto:gronfasadtvätt@comhem.se
http://www.stadlistan.se/c/g%C3%B6teborg/golvteknik-i-g%C3%B6teborg-ab/1182447,Golvteknik i Göteborg AB,http://www.golvteknikgbg.se,mailto:info@stadteknikvast.se
http://www.stadlistan.se/c/g%C3%B6teborg/gb-st%C3%A4d-vaktm%C3%A4steri-ab/1183004,GB Städ & Vaktmästeri AB,http://www.gbstaed.se,
http://www.stadlistan.se/c/h%C3%B6n%C3%B6/fixer-g%C3%B6teborg-ab/1110441499,Fixer Göteborg AB,http://www.fixer.nu,mailto:info@fixer.nu
http://www.stadlistan.se/c/g%C3%B6teborg/fix-cleaning-service-ab/1182951,Fix Cleaning Service AB,http://www.fixcleaningservice.com,mailto:eira@fixcleaningservice.com
http://www.stadlistan.se/c/g%C3%B6teborg/finns-st%C3%A4d-f%C3%B6nsterputs-ab/1183115,Finns Städ & Fönsterputs AB,http://www.finns.se,mailto:info@finns.se
http://www.stadlistan.se/c/g%C3%B6teborg/fennix-ab/1181656,Fennix AB,http://www.fennix.se,
http://www.stadlistan.se/c/g%C3%B6teborg/experten-st%C3%A4d-och-golvv%C3%A5rd-i-g%C3%B6teborg-ab/1110391161,Experten Städ och Golvvård i Göteborg AB,http://www.expertstad.se,mailto:ramiz@telia.com
http://www.stadlistan.se/c/hisings-k%C3%A4rra/elin-st%C3%A4d-i-g%C3%B6teborg-ab/1110446264,Elin Städ i Göteborg AB,http://www.elin-stad.se/,
http://www.stadlistan.se/c/g%C3%B6teborg/e-s-familje-st%C3%A4d/1110538851,E.S. Familje Städ,,mailto:dimitrios.petrelis@hotmail.com
http://www.stadlistan.se/c/g%C3%B6teborg/athanasios-kostikos-magic-cleaners-on-call/1111978424,Athanasios Kostikos (Magic Cleaners on call),,mailto:magiccleanersoncall@gmail.com
http://www.stadlistan.se/c/g%C3%B6teborg/cleanosol-aktiebolag-g%C3%B6teborg/1182701,Cleanosol Aktiebolag - Göteborg,http://www.cleanosol.com,
http://www.stadlistan.se/c/g%C3%B6teborg/clean-homes-i-g%C3%B6teborg-ab/1110365021,Clean Homes i Göteborg AB,http://www.cleanhomes.se,mailto:clean@homes.se
http://www.stadlistan.se/c/g%C3%B6teborg/boleva-ab/6001853,Boleva AB,http://www.boleva.se,
http://www.stadlistan.se/c/g%C3%B6teborg/betj%C3%A4nten-majorna-g%C3%B6teborg/45200,Betjänten Majorna - Göteborg,http://www.betjanten.se,mailto:majorna@betjanten.se
http://www.stadlistan.se/c/g%C3%B6teborg/betj%C3%A4nten-heden-g%C3%B6teborg/45197,Betjänten Heden - Göteborg,http://www.betjanten.se,mailto:heden@betjanten.se
http://www.stadlistan.se/c/g%C3%B6teborg/betj%C3%A4nten-flickornas-g%C3%B6teborg/45195,Betjänten Flickornas - Göteborg,http://www.betjanten.se,mailto:kundtjanst@betjanten.se
http://www.stadlistan.se/s/angered/eh-rent,,,
http://www.stadlistan.se/c/g%C3%B6teborg/ada-service-partner-aktiebolag-huvudkontor/3451,Ada Service Partner Aktiebolag - Huvudkontor,http://www.ada.se,
http://www.stadlistan.se/c/g%C3%B6teborg/always-clean-serviceteam-i-g%C3%B6teborg-ab/1110170083,ALWAYS CLEAN SERVICETEAM I GÖTEBORG AB,http://www.alwaysclean.se,mailto:alwayscleanab@live.se
http://www.stadlistan.se/c/g%C3%B6teborg/agga-w-entreprenad-ab/1110256106,AGGA W Entreprenad AB,http://www.agga.se,mailto:info@agga.se
http://www.stadlistan.se/c/mark-g%C3%B6teborg/vitis-st%C3%A4d-tr%C3%A4dg%C3%A5rd/1110541294,Vitis Städ & Trädgård ,,
http://www.stadlistan.se/c/g%C3%B6teborg/v-st%C3%A4d-ab/1181904,V-Städ AB,http://www.vstad.se,mailto:info@vstad.se
http://www.stadlistan.se/c/g%C3%B6teborg/legetimus-ab/1182380,Legetimus AB,http://www.legetimus.com,mailto:cecilia@legetimus.se
http://www.stadlistan.se/c/g%C3%B6teborg/betj%C3%A4nten-olskroken-g%C3%B6teborg/6001981,Betjänten Olskroken - Göteborg,http://www.betjanten.se,mailto:olskroken@betjanten.se
